# CVS $Revision: 1.1 $ $Author: chrisc $ -- Fri May  8 08:59:10 2009 -- reformated by prettylst.pl v1.39 (build 8180)

#Created by Robert Biskup January 2005

# Spell Name					Classes of caster			Domains granting the spell
Cause Fear.MOD					CLASSES:Disciple of Thrym=1
Corrupt Weapon.MOD				CLASSES:Disciple of Thrym=1
Detect Fire.MOD					CLASSES:Disciple of Thrym=1
Divine Favor.MOD					CLASSES:Disciple of Thrym=1
Doom.MOD						CLASSES:Disciple of Thrym=1
Ease of Breath.MOD				CLASSES:Disciple of Thrym=1
Frostburn (Lesser).MOD				CLASSES:Disciple of Thrym=1
Magic Weapon.MOD					CLASSES:Disciple of Thrym=1
Obscuring Mist.MOD				CLASSES:Disciple of Thrym=1
Protection from Good.MOD			CLASSES:Disciple of Thrym=1
Protection from Law.MOD				CLASSES:Disciple of Thrym=1
Shivering Touch (Lesser).MOD			CLASSES:Disciple of Thrym=1
Blood Snow.MOD					CLASSES:Disciple of Thrym=2
Bull's Strength.MOD				CLASSES:Disciple of Thrym=2
Chill Metal.MOD					CLASSES:Disciple of Thrym=2	DOMAINS:Cold=2
Conjure Ice Object.MOD				CLASSES:Disciple of Thrym=2
Eagle's Splendor.MOD				CLASSES:Disciple of Thrym=2
Fog Cloud.MOD					CLASSES:Disciple of Thrym=2
Frost Weapon.MOD					CLASSES:Disciple of Thrym=2
Zone of Glacial Cold.MOD			CLASSES:Disciple of Thrym=2
Binding Snow.MOD					CLASSES:Disciple of Thrym=3
Ice Shape.MOD					CLASSES:Disciple of Thrym=3
Aura of Cold (Lesser).MOD			CLASSES:Disciple of Thrym=3
Meld into Ice.MOD					CLASSES:Disciple of Thrym=3
Shivering Touch.MOD				CLASSES:Disciple of Thrym=3
Sleet Storm.MOD					CLASSES:Disciple of Thrym=3	DOMAINS:Cold=3
Boreal Wind.MOD					CLASSES:Disciple of Thrym=4
Glacial Globe of Invulnerability.MOD	CLASSES:Disciple of Thrym=4
Frostburn.MOD					CLASSES:Disciple of Thrym=4
Hibernal Healing.MOD				CLASSES:Disciple of Thrym=4
Summon Giants.MOD					CLASSES:Disciple of Thrym=4
Dispel Fire.MOD					CLASSES:Disciple of Thrym=5
Dispel Good.MOD					CLASSES:Disciple of Thrym=5
Dispel Law.MOD					CLASSES:Disciple of Thrym=5
Entomb.MOD						CLASSES:Disciple of Thrym=5
Frostbite.MOD					CLASSES:Disciple of Thrym=5
Ice Storm.MOD					CLASSES:Disciple of Thrym=5	DOMAINS:Cold,Winter=4
Stoneskin.MOD					CLASSES:Disciple of Thrym=5
Wall of Ice.MOD					CLASSES:Disciple of Thrym=5	DOMAINS:Cold=5
Chill Touch.MOD										DOMAINS:Cold=1
Cone of Cold.MOD										DOMAINS:Cold=6
Control Weather.MOD									DOMAINS:Cold,Winter=7
Polar Ray.MOD										DOMAINS:Cold=8
