# CVS $Revision: 1.1 $ $Author: chrisc $ -- Fri May  8 08:59:10 2009 -- reformated by prettylst.pl v1.39 (build 8180)
#CREATED BY S.R.Stephen, October 2005

# Equipment Name									Type					Cost		Weight	Size		Source, Long Desc.		Source, Short Desc.	Source Page		Description
Camouflage Netting (Cold Deserts ~ Tiny)					TYPE:Goods.General.Netting	COST:5	WT:1		SIZE:T	SOURCELONG:Heroes of Battle	SOURCESHORT:hrsbat	SOURCEPAGE:p.95	DESC:Character of the specified size or smaller can attempt a Hide check in the specified climate/terrain type even though the character does not have cover or concealment. Only functions if character remains stationary—moving even as little as 5 feet negates the netting’s effect.
Camouflage Netting (Cold Deserts ~ Small or Medium)			TYPE:Goods.General.Netting	COST:25	WT:3		SIZE:S	SOURCELONG:Heroes of Battle	SOURCESHORT:hrsbat	SOURCEPAGE:p.95	DESC:Character of the specified size or smaller can attempt a Hide check in the specified climate/terrain type even though the character does not have cover or concealment. Only functions if character remains stationary—moving even as little as 5 feet negates the netting’s effect.
Camouflage Netting (Cold Deserts ~ Large)					TYPE:Goods.General.Netting	COST:100	WT:10		SIZE:L	SOURCELONG:Heroes of Battle	SOURCESHORT:hrsbat	SOURCEPAGE:p.95	DESC:Character of the specified size or smaller can attempt a Hide check in the specified climate/terrain type even though the character does not have cover or concealment. Only functions if character remains stationary—moving even as little as 5 feet negates the netting’s effect.
Camouflage Netting (Cold Deserts ~ Huge)					TYPE:Goods.General.Netting	COST:200	WT:30		SIZE:H	SOURCELONG:Heroes of Battle	SOURCESHORT:hrsbat	SOURCEPAGE:p.95	DESC:Character of the specified size or smaller can attempt a Hide check in the specified climate/terrain type even though the character does not have cover or concealment. Only functions if character remains stationary—moving even as little as 5 feet negates the netting’s effect.
Camouflage Netting (Cold Deserts ~ Gargantuan)				TYPE:Goods.General.Netting	COST:500	WT:100	SIZE:G	SOURCELONG:Heroes of Battle	SOURCESHORT:hrsbat	SOURCEPAGE:p.95	DESC:Character of the specified size or smaller can attempt a Hide check in the specified climate/terrain type even though the character does not have cover or concealment. Only functions if character remains stationary—moving even as little as 5 feet negates the netting’s effect.
Camouflage Netting (Cold Deserts ~ Colossal)				TYPE:Goods.General.Netting	COST:1000	WT:300	SIZE:C	SOURCELONG:Heroes of Battle	SOURCESHORT:hrsbat	SOURCEPAGE:p.95	DESC:Character of the specified size or smaller can attempt a Hide check in the specified climate/terrain type even though the character does not have cover or concealment. Only functions if character remains stationary—moving even as little as 5 feet negates the netting’s effect.
Camouflage Netting (Cold Forests ~ Tiny)					TYPE:Goods.General.Netting	COST:5	WT:1		SIZE:T	SOURCELONG:Heroes of Battle	SOURCESHORT:hrsbat	SOURCEPAGE:p.95	DESC:Character of the specified size or smaller can attempt a Hide check in the specified climate/terrain type even though the character does not have cover or concealment. Only functions if character remains stationary—moving even as little as 5 feet negates the netting’s effect.
Camouflage Netting (Cold Forests ~ Small or Medium)			TYPE:Goods.General.Netting	COST:25	WT:3		SIZE:S	SOURCELONG:Heroes of Battle	SOURCESHORT:hrsbat	SOURCEPAGE:p.95	DESC:Character of the specified size or smaller can attempt a Hide check in the specified climate/terrain type even though the character does not have cover or concealment. Only functions if character remains stationary—moving even as little as 5 feet negates the netting’s effect.
Camouflage Netting (Cold Forests ~ Large)					TYPE:Goods.General.Netting	COST:100	WT:10		SIZE:L	SOURCELONG:Heroes of Battle	SOURCESHORT:hrsbat	SOURCEPAGE:p.95	DESC:Character of the specified size or smaller can attempt a Hide check in the specified climate/terrain type even though the character does not have cover or concealment. Only functions if character remains stationary—moving even as little as 5 feet negates the netting’s effect.
Camouflage Netting (Cold Forests ~ Huge)					TYPE:Goods.General.Netting	COST:200	WT:30		SIZE:H	SOURCELONG:Heroes of Battle	SOURCESHORT:hrsbat	SOURCEPAGE:p.95	DESC:Character of the specified size or smaller can attempt a Hide check in the specified climate/terrain type even though the character does not have cover or concealment. Only functions if character remains stationary—moving even as little as 5 feet negates the netting’s effect.
