# CVS $Revision: 1.1 $ $Author: chrisc $ -- Fri May  8 08:59:10 2009 -- reformated by prettylst.pl v1.39 (build 8180)


# MOD entries for new classes

# Spell Name				Classes of caster
Acid Splash.MOD				CLASSES:Warmage=0
Disrupt Undead.MOD			CLASSES:Warmage=0
Light.MOD					CLASSES:Healer,Warmage=0
Ray of Frost.MOD				CLASSES:Warmage=0
Burning Hands.MOD				CLASSES:Warmage=1
Chill Touch.MOD				CLASSES:Warmage=1
Magic Missile.MOD				CLASSES:Warmage=1
Shocking Grasp.MOD			CLASSES:Warmage=1
Sleep.MOD					CLASSES:Warmage=1
True Strike.MOD				CLASSES:Warmage=1
Continual Flame.MOD			CLASSES:Warmage=2
Fire Trap.MOD				CLASSES:Warmage=2
Flaming Sphere.MOD			CLASSES:Warmage=2
Melf's Acid Arrow.MOD			CLASSES:Warmage=2
Pyrotechnics.MOD				CLASSES:Warmage=2
Scorching Ray.MOD				CLASSES:Warmage=2
Shatter.MOD					CLASSES:Warmage=2
Fire Shield.MOD				CLASSES:Warmage=3
Fireball.MOD				CLASSES:Warmage=3
Flame Arrow.MOD				CLASSES:Warmage=3
Gust of Wind.MOD				CLASSES:Warmage=3
Ice Storm.MOD				CLASSES:Warmage=3
Lightning Bolt.MOD			CLASSES:Warmage=3
Poison.MOD					CLASSES:Warmage=3
Sleet Storm.MOD				CLASSES:Warmage=3
Stinking Cloud.MOD			CLASSES:Warmage=3
Contagion.MOD				CLASSES:Warmage=4
Evard's Black Tentacles.MOD		CLASSES:Warmage=4
Phantasmal Killer.MOD			CLASSES:Warmage=4
Shout.MOD					CLASSES:Warmage=4
Wall of Fire.MOD				CLASSES:Warmage=4
Cloudkill.MOD				CLASSES:Warmage=5
Cone of Cold.MOD				CLASSES:Warmage=5
Flame Strike.MOD				CLASSES:Warmage=5
Acid Fog.MOD				CLASSES:Warmage=6
Blade Barrier.MOD				CLASSES:Warmage=6
Chain Lightning.MOD			CLASSES:Warmage=6
Circle of Death.MOD			CLASSES:Warmage=6
Disintegrate.MOD				CLASSES:Warmage=6
Fire Seeds.MOD				CLASSES:Warmage=6
Otiluke's Freezing Sphere.MOD		CLASSES:Warmage=6
Tenser's Transformation.MOD		CLASSES:Warmage=6
Delayed Blast Fireball.MOD		CLASSES:Warmage=7
Earthquake.MOD				CLASSES:Warmage=7
Finger of Death.MOD			CLASSES:Warmage=7
Fire Storm.MOD				CLASSES:Warmage=7
Mordenkainen's Sword.MOD		CLASSES:Warmage=7
Prismatic Spray.MOD			CLASSES:Warmage=7
Sunbeam.MOD					CLASSES:Warmage=7
Waves of Exhaustion.MOD			CLASSES:Warmage=7
Shout (Greater).MOD			CLASSES:Warmage=8
Horrid Wilting.MOD			CLASSES:Warmage=8
Incendiary Cloud.MOD			CLASSES:Warmage=8
Polar Ray.MOD				CLASSES:Warmage=8
Prismatic Wall.MOD			CLASSES:Warmage=8
Scintillating Pattern.MOD		CLASSES:Warmage=8
Sunburst.MOD				CLASSES:Warmage=8
Elemental Swarm.MOD			CLASSES:Warmage=9
Implosion.MOD				CLASSES:Warmage=9
Meteor Swarm.MOD				CLASSES:Warmage=9
Prismatic Sphere.MOD			CLASSES:Warmage=9
Wail of the Banshee.MOD			CLASSES:Warmage=9
Weird.MOD					CLASSES:Warmage=9
Create Water.MOD				CLASSES:Healer=0
Cure Minor Wounds.MOD			CLASSES:Healer=0
Deathwatch.MOD				CLASSES:Healer=0
Detect Magic.MOD				CLASSES:Healer=0
