# CVS $Revision: 1.1 $ $Author: chrisc $ -- Fri May  8 08:59:10 2009 -- reformated by prettylst.pl v1.39 (build 8180)
# Deity Name		Domains
Blibdoolpoolp.MOD		DOMAINS:The Abyss
Diirinka.MOD		DOMAINS:The Abyss
Great Mother.MOD		DOMAINS:The Abyss
Hruggek.MOD			DOMAINS:The Abyss
Lolth.MOD			DOMAINS:The Abyss
Merrshaulk.MOD		DOMAINS:The Abyss
Corellon Larethian.MOD	DOMAINS:Arborea
Kurtulmak.MOD		DOMAINS:Baator
Sekolah.MOD			DOMAINS:Baator
Tiamat.MOD			DOMAINS:Baator
Bahamut.MOD			DOMAINS:Celestia
Heironeous.MOD		DOMAINS:Celestia
Moradin.MOD			DOMAINS:Celestia
Yondalla.MOD		DOMAINS:Celestia
Pelor.MOD			DOMAINS:Elysium
