# CVS $Revision: $ $Author: $ -- Fri Oct  6 22:31:49 2006 -- reformated by prettylst.pl v1.35 (build 561)
SOURCELONG:Alderac Entertainment Group - Rokugan	SOURCESHORT:AEG-Rokugan	SOURCEWEB:http://alderac.com/d20

# Language		Type				Source Page
Ashalan		TYPE:Spoken.Written.Read.Gaijin	SOURCEPAGE:p.45
Assassin		TYPE:Spoken.Written.Read.Gaijin	SOURCEPAGE:p.45
Bakemono		TYPE:Spoken					SOURCEPAGE:p.45
Chikushudo		TYPE:Spoken.Written.Read.Spirit	SOURCEPAGE:p.45
High Rokugani	TYPE:Spoken.Written.Read.Rokugani	SOURCEPAGE:p.45
Ivory Kingdoms	TYPE:Spoken.Written.Read.Gaijin	SOURCEPAGE:p.45
Kami			TYPE:Spoken.Spirit			SOURCEPAGE:p.45
Mekhem		TYPE:Spoken.Written.Read.Gaijin	SOURCEPAGE:p.45
Moto			TYPE:Spoken.Written.Read.Gaijin	SOURCEPAGE:p.45
Mujina		TYPE:Spoken.Spirit			SOURCEPAGE:p.45
Naga			TYPE:Spoken.Written.Read.Gaijin	SOURCEPAGE:p.45
Nezumi		TYPE:Spoken.Written.Read.Gaijin	SOURCEPAGE:p.45
Ogre			TYPE:Spoken					SOURCEPAGE:p.45
Oni			TYPE:Spoken					SOURCEPAGE:p.45
Rokugani		TYPE:Spoken.Written.Read.Rokugani	SOURCEPAGE:p.45
Senpet		TYPE:Spoken.Written.Read.Gaijin	SOURCEPAGE:p.45
Yobanjin		TYPE:Spoken.Written.Read.Gaijin	SOURCEPAGE:p.45
