# CVS $Revision: $ $Author: $ -- Mon Feb 26 16:04:00 2007 -- reformated by prettylst.pl v1.36 (build 2045)
SOURCELONG:Alderac Entertainment Group - Rokugan	SOURCESHORT:AEG-Rokugan	SOURCEWEB:http://alderac.com/d20

# Weapon Name		Type															Source Page
Aiguchi			TYPE:Simple.Melee.Light.SimpleMelee.MeleeLight.Knife							SOURCEPAGE:p.58
Bo				TYPE:Simple.Melee.SimpleMelee.TwoHanded.TwoHandedMelee.TwoHandedSimpleMelee.Staff		SOURCEPAGE:p.58
Crossbow			TYPE:Exotic.Ranged.Projectile.Crossbow									SOURCEPAGE:p.58
Dai-kyu			TYPE:Martial.Bow.Ranged.Projectile										SOURCEPAGE:p.58
Die Tsuchi			TYPE:Martial.Melee.TwoHanded.MartialMelee.Hammer							SOURCEPAGE:p.58
Jitte				TYPE:Simple.Melee.Light.SimpleMelee.MeleeLight.Knife							SOURCEPAGE:p.58
Jo				TYPE:Simple.Melee.SimpleMelee.OneHanded.OneHandedMelee.OneHandedSimpleMelee.Staff		SOURCEPAGE:p.58
Kama				TYPE:Simple.Melee.Light.SimpleMelee.MeleeLight								SOURCEPAGE:p.58
Machi-Kanshisha pipe	TYPE:Martial.Melee.OneHanded.MartialMelee.Exotic.ExoticRanged.Ranged				SOURCEPAGE:p.58
Naga blade			TYPE:Exotic.Melee.TwoHanded.ExoticMelee.Naga								SOURCEPAGE:p.58
Nagamaki			TYPE:Martial.Melee.TwoHanded.MartialMelee								SOURCEPAGE:p.58
Nage-yari			TYPE:Simple.Melee.SimpleMelee.OneHanded.OneHandedMelee.OneHandedSimpleMelee.Spear		SOURCEPAGE:p.58
Naginata			TYPE:Martial.Melee.TwoHanded.MartialMelee								SOURCEPAGE:p.58
Nunchaku			TYPE:Simple.Melee.Light.SimpleMelee.MeleeLight								SOURCEPAGE:p.58
Ono				TYPE:Martial.Melee.TwoHanded.MartialMelee								SOURCEPAGE:p.58
Sai				TYPE:Simple.Melee.Light.SimpleMelee.MeleeLight.Knife							SOURCEPAGE:p.58
Sasumata			TYPE:Exotic.Melee.TwoHanded.ExoticMelee									SOURCEPAGE:p.58
Sling				TYPE:Exotic.Ranged.ExoticRanged										SOURCEPAGE:p.58
Sodegarami			TYPE:Exotic.Melee.TwoHanded.ExoticMelee									SOURCEPAGE:p.58
Tetsubo			TYPE:Martial.Melee.TwoHanded.MartialMelee								SOURCEPAGE:p.58
Tonfa				TYPE:Simple.Melee.SimpleMelee.OneHanded.OneHandedMelee.OneHandedSimpleMelee			SOURCEPAGE:p.58
Vajra				TYPE:Exotic.Melee.OneHanded.ExoticMelee.Monk								SOURCEPAGE:p.58
Whip				TYPE:Exotic.Melee.OneHanded.ExoticMelee									SOURCEPAGE:p.58
Yari				TYPE:Simple.Melee.SimpleMelee.TwoHanded.TwoHandedMelee.TwoHandedSimpleMelee.Spear		SOURCEPAGE:p.58
Yumi				TYPE:Martial.Bow.Ranged.Projectile										SOURCEPAGE:p.58
