# CVS $Revision: 5014 $ $Author: eddyanthony $ -- Tue Feb 24 20:53:17 2009 -- reformated by prettylst.pl v1.39 (build 8180)
SOURCELONG:Oathbound - Domains of the Forge	SOURCESHORT:Oathbound	SOURCEWEB:http://www.bastionpress.com	SOURCEDATE:2003-08
# Input by Ruemere, email: ruemere@poczta.onet.pl

# Weapon Name			Type
Bladeharp				TYPE:Exotic
Cukri					TYPE:Exotic
Dagger (Triple-Bladed)		TYPE:Exotic
Harpoon				TYPE:Exotic
Mace (Ox Head)			TYPE:Exotic
Maul (Bladed)			TYPE:Martial
Pick (Rafter's-Unextended)	TYPE:Martial
Pick (Rafter's-Extended)	TYPE:Martial
Rang Blade				TYPE:Exotic
Schiavona				TYPE:Martial
# Shortstaff undefined, using Quarterstaff, size Medium
Shortstaff				TYPE:Simple

Backsword (Basket Hilted)	TYPE:Martial
Saber (Fencing)			TYPE:Martial

