# CVS $Revision: $ $Author: $ -- Fri May  8 13:30:11 2009 -- reformated by prettylst.pl v1.39 (build 8180)
SOURCELONG:Fantasy Flight Games - Dragonstar - Guide to Galaxy	SOURCESHORT:GuideGalaxy	SOURCEWEB:http://www.fantasyflightgames.com/dragonstar.html

# Spell Name		Classes of caster
Break Enchantment.MOD	CLASSES:Paladin=5
Commune.MOD			CLASSES:Paladin=5
Dispel Evil.MOD		CLASSES:Paladin=5
Ethereal Jaunt.MOD	CLASSES:Paladin=5
Command (Greater).MOD	CLASSES:Paladin=5
Raise Dead.MOD		CLASSES:Paladin=5
Righteous Might.MOD	CLASSES:Paladin=5
Spell Resistance.MOD	CLASSES:Paladin=5
Total Protection.MOD	CLASSES:Paladin=5
True Seeing.MOD		CLASSES:Paladin=5
