# CVS $Revision: $ $Author: $ -- Fri May  8 13:30:11 2009 -- reformated by prettylst.pl v1.39 (build 8180)
SOURCELONG:Iron Kingdoms Character Guide	SOURCESHORT:IKCG	SOURCEWEB:http://www.ironkingdoms.com
## Original Entry by: Rax the Grey


###Exotic Ranged Weapons
##Firearms
# Equipment Name				Output Name						Required Proficiency			Type												Contains			Cost		Weight	Critical Hit Multiplier	Critical Hit Range	Damage		Modifier			Wield Category	Range		Size		Source Page
Blunderbuss												PROFICIENCY:WEAPON|Rifle		TYPE:Weapon.Exotic.Ranged.Bludgeoning.Piercing.Rifle.Firearm.Metal	CONTAINS:1|Round=1	COST:150	WT:16		CRITMULT:x3			CRITRANGE:1			DAMAGE:4d4						WIELD:TwoHanded	RANGE:5	SIZE:M	SOURCEPAGE:pg. 185
Carbine (Military)										PROFICIENCY:WEAPON|Rifle		TYPE:Weapon.Exotic.Ranged.Piercing.Rifle.Firearm.Metal			CONTAINS:1|Round=1	COST:600	WT:10		CRITMULT:x3			CRITRANGE:2			DAMAGE:2d8						WIELD:TwoHanded	RANGE:150	SIZE:M	SOURCEPAGE:pg. 186
Grappling Gun											PROFICIENCY:WEAPON|Rifle		TYPE:Weapon.Exotic.Ranged.Bludgeoning.Rifle.Firearm.Metal			CONTAINS:1|Round=1	COST:500	WT:12		CRITMULT:x3			CRITRANGE:1			DAMAGE:1d8						WIELD:TwoHanded	RANGE:30	SIZE:M	SOURCEPAGE:pg. 186
# TODO: Add small damage for Harpoon Gun  --Rax
Harpoon Gun												PROFICIENCY:WEAPON|Rifle		TYPE:Weapon.Exotic.Ranged.Piercing.Rifle.Firearm.Metal			CONTAINS:1|Round=1	COST:500	WT:12		CRITMULT:x3			CRITRANGE:1			DAMAGE:2d6+1					WIELD:TwoHanded	RANGE:60	SIZE:M	SOURCEPAGE:pg. 186
Pistol (Clockwerk Arms Pepperbox)	OUTPUTNAME:Clockwerk Arms Pepperbox		PROFICIENCY:WEAPON|Pistol		TYPE:Weapon.Exotic.Ranged.Piercing.Pistol.Firearm.Metal			CONTAINS:1|Round=4	COST:325	WT:8		CRITMULT:x3			CRITRANGE:2			DAMAGE:2d4-2					WIELD:OneHanded	RANGE:20	SIZE:M	SOURCEPAGE:pg. 181
Pistol (Military)											PROFICIENCY:WEAPON|Pistol		TYPE:Weapon.Exotic.Ranged.Piercing.Pistol.Firearm.Metal			CONTAINS:1|Round=1	COST:300	WT:5		CRITMULT:x3			CRITRANGE:2			DAMAGE:2d6						WIELD:OneHanded	RANGE:80	SIZE:S	SOURCEPAGE:pg. 187
Pistol (Musket)											PROFICIENCY:WEAPON|Pistol		TYPE:Weapon.Exotic.Ranged.Piercing.Pistol.Firearm.Metal			CONTAINS:1|Round=1	COST:175	WT:5		CRITMULT:x2			CRITRANGE:1			DAMAGE:1d8						WIELD:OneHanded	RANGE:20	SIZE:M	SOURCEPAGE:pg. 187
Pistol (Pinlock)											PROFICIENCY:WEAPON|Pistol		TYPE:Weapon.Exotic.Ranged.Piercing.Pistol.Firearm.Metal			CONTAINS:1|Round=1	COST:150	WT:5		CRITMULT:x2			CRITRANGE:1			DAMAGE:2d3						WIELD:OneHanded	RANGE:30	SIZE:M	SOURCEPAGE:pg. 187
Pistol (Radliffe Quad Iron)		OUTPUTNAME:Radliffe Quad Iron			PROFICIENCY:WEAPON|Pistol		TYPE:Weapon.Exotic.Ranged.Piercing.Pistol.Firearm.Metal			CONTAINS:1|Round=1	COST:375	WT:6		CRITMULT:x3			CRITRANGE:2			DAMAGE:4d4						WIELD:OneHanded	RANGE:20	SIZE:M	SOURCEPAGE:pg. 182
Pistol (Rynnish Holdout)		OUTPUTNAME:Rynnish Holdout Pistol		PROFICIENCY:WEAPON|Pistol		TYPE:Weapon.Exotic.Ranged.Piercing.Pistol.Firearm.Metal			CONTAINS:1|Round=1	COST:225	WT:2		CRITMULT:x3			CRITRANGE:2			DAMAGE:2d4-2					WIELD:OneHanded	RANGE:20	SIZE:M	SOURCEPAGE:pg. 183
