# CVS $Revision: $ $Author: $ -- Tue Feb 24 20:52:13 2009 -- reformated by prettylst.pl v1.39 (build 8180)
SOURCELONG:Iron Kingdoms Character Guide	SOURCESHORT:IKCG	SOURCEWEB:http://www.ironkingdoms.com
## Original Entry by: Rax the Grey


# Template Name	Product Identity?	Visible		Template												Region
IK_Regions					VISIBLE:DISPLAY	TEMPLATE:CHOOSE:Cryx|Cygnar|Ios|Khador|Llael|Nyss|Ord|Other|Protectorate|Rhul

#Regions:
Cryx			NAMEISPI:YES	VISIBLE:EXPORT														REGION:Cryx	REGION:YES
Cygnar		NAMEISPI:YES	VISIBLE:EXPORT														REGION:Cygnar	REGION:YES
Ios			NAMEISPI:YES	VISIBLE:EXPORT														REGION:Ios	REGION:YES
Khador		NAMEISPI:YES	VISIBLE:EXPORT														REGION:Khador	REGION:YES
Llael			NAMEISPI:YES	VISIBLE:EXPORT														REGION:Llael	REGION:YES
Nyss			NAMEISPI:YES	VISIBLE:EXPORT														REGION:Nyss	REGION:YES
Ord			NAMEISPI:YES	VISIBLE:EXPORT														REGION:Ord	REGION:YES
Other			NAMEISPI:YES	VISIBLE:EXPORT														REGION:Other	REGION:YES
Protectorate	NAMEISPI:YES	VISIBLE:EXPORT														REGION:Protectorate	REGION:YES
Rhul			NAMEISPI:YES	VISIBLE:EXPORT														REGION:Rhul	REGION:YES

