# CVS $Revision: $ $Author: rax_the_grey $ -- Tue Feb 17 10:04:29 2009 -- reformated by prettylst.pl v1.39 (build 8180)
SOURCELONG:Rallanon Publishing Group - The Encyclopedia Rallanon Base	SOURCESHORT:EncRal	SOURCEWEB:http://raxstower.finzen.com

# Sorcerer Bloodlines
## Celestials
# Deity Name				Domains																		Desciption of Deity/Title		Holy Item	Deity Weapon	Pantheon		Required Class
Bloodline (Archon)			DOMAINS:Arcane_Celestia,Arcane_Healing,Arcane_Light,Arcane_Summoning,Arcane_Transport					DESC:Archon Bloodline			SYMBOL:None	DEITYWEAP:ALL	PANTHEON:Sorcerer	PRECLASS:1,Sorcerer=1
Bloodline (Eladrin)			DOMAINS:Arcane_Celestia,Arcane_Chaos,Arcane_Light,Arcane_Summoning								DESC:Eladrin Bloodline			SYMBOL:None	DEITYWEAP:ALL	PANTHEON:Sorcerer	PRECLASS:1,Sorcerer=1
## Fiends
Bloodline (Devilblood/Devilpact)	DOMAINS:Arcane_Anathema,Arcane_Evil,Arcane_Law,Arcane_Summoning,Arcane_Trickery,Arcane_Tyranny				DESC:Devil Bloodline			SYMBOL:None	DEITYWEAP:ALL	PANTHEON:Sorcerer	PRECLASS:1,Sorcerer=1
Bloodline (Demonblood/Demonpact)	DOMAINS:Arcane_Anathema,Arcane_Chaos,Arcane_Destruction,Arcane_Evil,Arcane_Hatred,Arcane_Summoning			DESC:Demon Bloodline			SYMBOL:None	DEITYWEAP:ALL	PANTHEON:Sorcerer	PRECLASS:1,Sorcerer=1
Bloodline (Succubus)			DOMAINS:Arcane_Anathema,Arcane_Beguiling,Arcane_Chaos,Arcane_Evil									DESC:Succubus Bloodline			SYMBOL:None	DEITYWEAP:ALL	PANTHEON:Sorcerer	PRECLASS:1,Sorcerer=1
## Dragons
Bloodline (Dragon - Bahamut)		DOMAINS:Arcane_Air,Arcane_Celestia,Arcane_Erudition,Arcane_Good,Arcane_Law							DESC:Bahamut Bloodline			SYMBOL:None	DEITYWEAP:ALL	PANTHEON:Sorcerer	PRECLASS:1,Sorcerer=1
Bloodline (Dragon - Gold)		DOMAINS:Arcane_Erudition,Arcane_Flame,Arcane_Good,Arcane_Law,Arcane_Luck							DESC:Gold Dragon Bloodline		SYMBOL:None	DEITYWEAP:ALL	PANTHEON:Sorcerer	PRECLASS:1,Sorcerer=1
Bloodline (Dragon - Silver)		DOMAINS:Arcane_Air,Arcane_Erudition,Arcane_Frost,Arcane_Good,Arcane_Law								DESC:Silver Dragon Bloodline		SYMBOL:None	DEITYWEAP:ALL	PANTHEON:Sorcerer	PRECLASS:1,Sorcerer=1
