# CVS $Revision: $ $Author: rax_the_grey $ -- Fri May  8 13:30:11 2009 -- reformated by prettylst.pl v1.39 (build 8180)
SOURCELONG:Rallanon Publishing Group - The Encyclopedia Rallanon	SOURCESHORT:EncRal	SOURCEWEB:http://raxstower.finzen.com

# Coin Name		Product Identity?	Type				Cost		Weight	Source Page
#Coin (Platinum)	NAMEISPI:YES	TYPE:Coin			COST:10	WT:.02	SOURCEPAGE:Chap.8, Economy
#Coin (Gold)	NAMEISPI:YES	TYPE:Coin			COST:1	WT:.02	SOURCEPAGE:Chap.8, Economy
#Coin (Electrum)	NAMEISPI:YES	TYPE:Coin			COST:.5	WT:.02	SOURCEPAGE:Chap.8, Economy
#Coin (Silver)	NAMEISPI:YES	TYPE:Coin			COST:.1	WT:.02	SOURCEPAGE:Chap.8, Economy
#Coin (Bronze)	NAMEISPI:YES	TYPE:Coin			COST:.02	WT:.02	SOURCEPAGE:Chap.8, Economy
#Coin (Copper)	NAMEISPI:YES	TYPE:Coin			COST:.01	WT:.02	SOURCEPAGE:Chap.8, Economy

# Coin Name		Product Identity?	Type				Cost		Weight	Source Page
# Algoria
# Equipment Name	Product Identity?	Type				Cost		Weight	Source Page
Ka-Mark		NAMEISPI:YES	TYPE:Coin.Algorian	COST:10	WT:0.02	SOURCEPAGE:Chap.8, Economy
Mark			NAMEISPI:YES	TYPE:Coin.Algorian	COST:1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Da-Mark		NAMEISPI:YES	TYPE:Coin.Algorian	COST:0.5	WT:0.02	SOURCEPAGE:Chap.8, Economy
Silum			NAMEISPI:YES	TYPE:Coin.Algorian	COST:0.1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Bront			NAMEISPI:YES	TYPE:Coin.Algorian	COST:0.02	WT:0.02	SOURCEPAGE:Chap.8, Economy
Copa			NAMEISPI:YES	TYPE:Coin.Algorian	COST:0.01	WT:0.02	SOURCEPAGE:Chap.8, Economy

# Altorkania
Zalum			NAMEISPI:YES	TYPE:Coin.Altorkanian	COST:1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Luma			NAMEISPI:YES	TYPE:Coin.Altorkanian	COST:0.1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Nelde			NAMEISPI:YES	TYPE:Coin.Altorkanian	COST:0.01	WT:0.02	SOURCEPAGE:Chap.8, Economy

# Ardos
Ardon			NAMEISPI:YES	TYPE:Coin			COST:10	WT:0.02	SOURCEPAGE:Chap.8, Economy
Ardan			NAMEISPI:YES	TYPE:Coin			COST:1	WT:0.02	SOURCEPAGE:Chap.8, Economy
