# CVS $Revision: 1.2 $ $Author: ericbeaudoin $ -- Mon Mar 20 20:54:06 2006 -- reformated by prettylst.pl v1.35 (build 561)
SOURCELONG:Wizards of the Coast - Dragon Magazine #247	SOURCESHORT:WotC-Dragon #247	SOURCEWEB:http://www.wizards.com/default.asp?x=dragon

#Name						TYPE				Cost		Weight
# Equipment Name				Type				Cost		Weight	Source Page		Special Property
Glass Guardian				TYPE:Magic.Wondrous	COST:1000	WT:0		SOURCEPAGE:p.59	SPROP:AC11/2hp, Reflect back upon the caster of any magic that enter's or starts within a 10ft radius, globes fall to the ground useless after 1 use
Apron of the Alchemist			TYPE:Magic.Wondrous	COST:2500	WT:4		SOURCEPAGE:p.82	SPROP:AC+3 to attacks from the front/sides, does not prevent spellcasting, +3 bonus on saving throws from fire and acid from the front
Nalkor's Apron				TYPE:Magic.Wondrous	COST:5000	WT:4		SOURCEPAGE:p.82	SPROP:Whenever the wearer is in an explosion that does more than 1d8 of damage the wearer and apron are teleported to a pre-determined location
Tools of Art +1				TYPE:Magic.Wondrous	COST:1500	WT:0		SOURCEPAGE:p.82	SPROP:These tools add a bonus (+1 to +5) to a specific profeciency (such as woodworking, stonemasonry etc) Rank in such skill is not required
Tools of Art +2				TYPE:Magic.Wondrous	COST:2200	WT:0		SOURCEPAGE:p.82	SPROP:These tools add a bonus (+1 to +5) to a specific profeciency (such as woodworking, stonemasonry etc) Rank in such skill is not required
Tools of Art +3				TYPE:Magic.Wondrous	COST:3000	WT:0		SOURCEPAGE:p.82	SPROP:These tools add a bonus (+1 to +5) to a specific profeciency (such as woodworking, stonemasonry etc) Rank in such skill is not required
Tools of Art +4				TYPE:Magic.Wondrous	COST:4500	WT:0		SOURCEPAGE:p.82	SPROP:These tools add a bonus (+1 to +5) to a specific profeciency (such as woodworking, stonemasonry etc) Rank in such skill is not required
Tools of Art +5				TYPE:Magic.Wondrous	COST:6000	WT:0		SOURCEPAGE:p.82	SPROP:These tools add a bonus (+1 to +5) to a specific profeciency (such as woodworking, stonemasonry etc) Rank in such skill is not required
Magic Tar					TYPE:Magic.Wondrous	COST:500	WT:10		SOURCEPAGE:p.83	SPROP:When used to seal a boat's hull, no water will seep through the boards, repels creatures that normally adhere to a boat's hull
Flag of the Warsmith			TYPE:Magic.Wondrous	COST:30000	WT:0		SOURCEPAGE:p.83	SPROP:When put upon a pole above a tent large enuf tp support a smithy all relevant tools appear for a smith, can be used 8hours/day or when flag is removed
Nalkor's Tape measure			TYPE:Magic.Wondrous	COST:2000	WT:0		SOURCEPAGE:p.83	SPROP:When activated an Unseen Servant appears and takes measurements of one humanoid and writes them on a piece of parchment
Barrel of Potions Storing		TYPE:Magic.Wondrous	COST:25000	WT:0		SOURCEPAGE:p.83	SPROP:Can store 100 potions, when potion's name is written on the parchment and spigot is turned that potion empties out, barrel crumbles when last one taken
Jadon's Mortar				TYPE:Magic.Wondrous	COST:50	WT:50		SOURCEPAGE:p.83	SPROP:Mortar hardens within 4 rounds of salt being spread over it, 1 ounce of mercury dissolves 1 lb of mortar
Knife of Decoration			TYPE:Magic.Wondrous	COST:2500	WT:0		SOURCEPAGE:p.84	SPROP:When a Carpenter uses this knife to decorate wood it increases the worth by 1d20 + 15%, with a 5% chance of ruining the item, comes in 50lb bags
Nalkor's Book of Servants		TYPE:Magic.Wondrous	COST:7000	WT:0		SOURCEPAGE:p.84	SPROP:Book contains 1d4+1 Unseen Servant spells, when a user needs the services of one of the servants he writes down the task in the book
