# CVS $Revision: $ $Author: $ -- Mon Mar 20 20:54:06 2006 -- reformated by prettylst.pl v1.35 (build 561)
SOURCELONG:Wizards of the Coast - Dragon Magazine #293	SOURCESHORT:WotC-Dragon #293	SOURCEWEB:http://www.wizards.com/default.asp?x=dragon

#Thunder Wolf
#Mist Wolf
#Sea Wolf
#Shard Wolf
#Magma Wolf
#Cloud Wolf

# Race Name					Level Adjustment
Aasimar.MOD					LEVELADJUSTMENT:1
Aboleth.MOD					LEVELADJUSTMENT:17
Achaierai.MOD				LEVELADJUSTMENT:12
Allip.MOD					LEVELADJUSTMENT:13
Animated Object (Tiny).MOD		LEVELADJUSTMENT:5
Animated Object (Small).MOD		LEVELADJUSTMENT:6
Animated Object (Medium).MOD		LEVELADJUSTMENT:8
Animated Object (Large).MOD		LEVELADJUSTMENT:10
Animated Object (Huge).MOD		LEVELADJUSTMENT:14
Animated Object (Gargantuan).MOD	LEVELADJUSTMENT:21
Animated Object (Colossal).MOD	LEVELADJUSTMENT:36
Ankheg.MOD					LEVELADJUSTMENT:8
Aranea.MOD					LEVELADJUSTMENT:8
Arrowhawk (Juvenile).MOD		LEVELADJUSTMENT:8
Arrowhawk (Adult).MOD			LEVELADJUSTMENT:11
Arrowhawk (Elder).MOD			LEVELADJUSTMENT:18
Athach.MOD					LEVELADJUSTMENT:20
Azer.MOD					LEVELADJUSTMENT:6
Barghest.MOD				LEVELADJUSTMENT:25
Barghest (Greater).MOD			LEVELADJUSTMENT:30
Basilisk.MOD				LEVELADJUSTMENT:10
Beholder.MOD				LEVELADJUSTMENT:24
Belker.MOD					LEVELADJUSTMENT:12
Blink Dog.MOD				LEVELADJUSTMENT:8
Bodak.MOD					LEVELADJUSTMENT:15
Bugbear.MOD					LEVELADJUSTMENT:4
Bulette.MOD					LEVELADJUSTMENT:14
Carrion Crawler.MOD			LEVELADJUSTMENT:7
Celestial (Lantarn Archon).MOD	LEVELADJUSTMENT:5
Celestial (Hound Archon).MOD		LEVELADJUSTMENT:12
Celestial (Avoral).MOD			LEVELADJUSTMENT:14
Celestial (Ghaele).MOD			LEVELADJUSTMENT:20
Celestial (Trumpet Archon).MOD	LEVELADJUSTMENT:20
Celestial (Astral Deva).MOD		LEVELADJUSTMENT:20
Celestial (Planetar).MOD		LEVELADJUSTMENT:28
Celestial (Solar).MOD			LEVELADJUSTMENT:36
Centaur.MOD					LEVELADJUSTMENT:7
Chaos Beast.MOD				LEVELADJUSTMENT:14
Chimera.MOD					LEVELADJUSTMENT:15
Choker.MOD					LEVELADJUSTMENT:8
Chuul.MOD					LEVELADJUSTMENT:18
Cloaker.MOD					LEVELADJUSTMENT:14
Cockatrice.MOD				LEVELADJUSTMENT:10
Couatl.MOD					LEVELADJUSTMENT:18
Darkmantle.MOD				LEVELADJUSTMENT:6
Delver.MOD					LEVELADJUSTMENT:22
Destrachan.MOD				LEVELADJUSTMENT:14
Devourer.MOD				LEVELADJUSTMENT:22
Digester.MOD				LEVELADJUSTMENT:10
Dinosaur (Deinonychus).MOD		LEVELADJUSTMENT:8
Dinosaur (Elasmosaurus).MOD		LEVELADJUSTMENT:8
Dinosaur (Megaraptor).MOD		LEVELADJUSTMENT:12
Dinosaur (Triceratops).MOD		LEVELADJUSTMENT:18
Dinosaur (Tyrannosaurus).MOD		LEVELADJUSTMENT:22
Dire Rat.MOD				LEVELADJUSTMENT:2
Dire Weasel.MOD				LEVELADJUSTMENT:5
Dire Badger.MOD				LEVELADJUSTMENT:5
Dire Bat.MOD				LEVELADJUSTMENT:9
Dire Ape.MOD				LEVELADJUSTMENT:10
Dire Wolverine.MOD			LEVELADJUSTMENT:8
Dire Wolf.MOD				LEVELADJUSTMENT:8
Dire Boar.MOD				LEVELADJUSTMENT:11
Dire Lion.MOD				LEVELADJUSTMENT:10
Dire Bear.MOD				LEVELADJUSTMENT:11
Dire Tiger.MOD				LEVELADJUSTMENT:20
Dire Shark.MOD				LEVELADJUSTMENT:22
Displacer Beast.MOD			LEVELADJUSTMENT:11
Doppelganger.MOD				LEVELADJUSTMENT:8
Dragonne.MOD				LEVELADJUSTMENT:11
Drider (Cleric).MOD			LEVELADJUSTMENT:11
Drider (Sorcerer).MOD			LEVELADJUSTMENT:11
Drider (Wizard).MOD			LEVELADJUSTMENT:11
Dryad.MOD					LEVELADJUSTMENT:4
Dwarf (Deep).MOD				LEVELADJUSTMENT:0
Dwarf (Derro).MOD				LEVELADJUSTMENT:0
Dwarf (Duergar).MOD			LEVELADJUSTMENT:0
Elemental (Air Small).MOD		LEVELADJUSTMENT:7
Elemental (Air Medium).MOD		LEVELADJUSTMENT:9
Elemental (Air Large).MOD		LEVELADJUSTMENT:14
Elemental (Air Huge).MOD		LEVELADJUSTMENT:21
Elemental (Air Greater).MOD		LEVELADJUSTMENT:25
Elemental (Air Elder).MOD		LEVELADJUSTMENT:28
Elemental (Earth Small).MOD		LEVELADJUSTMENT:7
Elemental (Earth Medium).MOD		LEVELADJUSTMENT:9
Elemental (Earth Large).MOD		LEVELADJUSTMENT:14
Elemental (Earth Huge).MOD		LEVELADJUSTMENT:21
Elemental (Earth Greater).MOD		LEVELADJUSTMENT:25
Elemental (Earth Elder).MOD		LEVELADJUSTMENT:28
Elemental (Fire Small).MOD		LEVELADJUSTMENT:6
Elemental (Fire Medium).MOD		LEVELADJUSTMENT:8
Elemental (Fire Large).MOD		LEVELADJUSTMENT:13
Elemental (Fire Huge).MOD		LEVELADJUSTMENT:20
Elemental (Fire Greater).MOD		LEVELADJUSTMENT:25
Elemental (Fire Elder).MOD		LEVELADJUSTMENT:28
Elemental (Water Small).MOD		LEVELADJUSTMENT:6
Elemental (Water Medium).MOD		LEVELADJUSTMENT:8
Elemental (Water Large).MOD		LEVELADJUSTMENT:13
Elemental (Water Huge).MOD		LEVELADJUSTMENT:20
Elemental (Water Greater).MOD		LEVELADJUSTMENT:25
Elemental (Water Elder).MOD		LEVELADJUSTMENT:28
Elf (Aquatic).MOD				LEVELADJUSTMENT:1
Elf (Drow Male).MOD			LEVELADJUSTMENT:2
Elf (Drow Female).MOD			LEVELADJUSTMENT:2
Ethereal Filcher.MOD			LEVELADJUSTMENT:10
Ethereal Marauder.MOD			LEVELADJUSTMENT:6
Ettercap.MOD				LEVELADJUSTMENT:9
Ettin.MOD					LEVELADJUSTMENT:15
Formian (Worker).MOD			LEVELADJUSTMENT:6
Formian (Warrior).MOD			LEVELADJUSTMENT:10
Formian (Taskmaster).MOD		LEVELADJUSTMENT:12
Formian (Myrmarch).MOD			LEVELADJUSTMENT:18
Formian (Queen).MOD			LEVELADJUSTMENT:30
Frost Worm.MOD				LEVELADJUSTMENT:17
Fungus (Violet Fungus).MOD		LEVELADJUSTMENT:7
Gargoyle.MOD				LEVELADJUSTMENT:9
Genie (Janni).MOD				LEVELADJUSTMENT:11
Genie (Djinni).MOD			LEVELADJUSTMENT:13
Genie (Djinni Noble).MOD		LEVELADJUSTMENT:18
Genie (Efreeti).MOD			LEVELADJUSTMENT:19
Ghoul.MOD					LEVELADJUSTMENT:6
Ghoul (Lacedon).MOD			LEVELADJUSTMENT:6
Ghast.MOD					LEVELADJUSTMENT:8
Giant (Hill).MOD				LEVELADJUSTMENT:16
Giant (Stone).MOD				LEVELADJUSTMENT:18
Giant (Frost).MOD				LEVELADJUSTMENT:18
Giant (Fire).MOD				LEVELADJUSTMENT:19
Giant (Cloud).MOD				LEVELADJUSTMENT:23
Giant (Storm).MOD				LEVELADJUSTMENT:26
Giant Eagle.MOD				LEVELADJUSTMENT:8
Giant Owl.MOD				LEVELADJUSTMENT:8
Gibbering Mouther.MOD			LEVELADJUSTMENT:9
Girallon.MOD				LEVELADJUSTMENT:11
Gnoll.MOD					LEVELADJUSTMENT:3
Gnome (Svirfneblin).MOD			LEVELADJUSTMENT:3
Gnome (Forest).MOD			LEVELADJUSTMENT:0
Goblin.MOD					LEVELADJUSTMENT:0
Golem (Flesh).MOD				LEVELADJUSTMENT:15
Golem (Clay).MOD				LEVELADJUSTMENT:19
Golem (Stone).MOD				LEVELADJUSTMENT:22
Golem (Iron).MOD				LEVELADJUSTMENT:26
Gorgon.MOD					LEVELADJUSTMENT:12
Gray Render.MOD				LEVELADJUSTMENT:16
Grick.MOD					LEVELADJUSTMENT:7
Griffon.MOD					LEVELADJUSTMENT:10
Grimlock.MOD				LEVELADJUSTMENT:5
Hag (Sea).MOD				LEVELADJUSTMENT:8
Hag (Annis).MOD				LEVELADJUSTMENT:12
Hag (Green).MOD				LEVELADJUSTMENT:14
Halfling (Tallfellow).MOD		LEVELADJUSTMENT:0
Halfling (Deep).MOD			LEVELADJUSTMENT:0
Harpy.MOD					LEVELADJUSTMENT:10
Hell Hound.MOD				LEVELADJUSTMENT:6
Hippogriff.MOD				LEVELADJUSTMENT:5
Hobgoblin.MOD				LEVELADJUSTMENT:1
Homunculus.MOD				LEVELADJUSTMENT:8
Howler.MOD					LEVELADJUSTMENT:10
Invisible Stalker.MOD			LEVELADJUSTMENT:15
Kobold.MOD					LEVELADJUSTMENT:0
Kraken.MOD					LEVELADJUSTMENT:28
Krenshar.MOD				LEVELADJUSTMENT:5
Kuo-toa.MOD					LEVELADJUSTMENT:7
Lamia.MOD					LEVELADJUSTMENT:12
Lammasu.MOD					LEVELADJUSTMENT:12
Lillend.MOD					LEVELADJUSTMENT:14
Lizardfolk.MOD				LEVELADJUSTMENT:4
Locathah.MOD				LEVELADJUSTMENT:3
Magmin.MOD					LEVELADJUSTMENT:6
Manticore.MOD				LEVELADJUSTMENT:10
Medusa.MOD					LEVELADJUSTMENT:10
Mephit (Air).MOD				LEVELADJUSTMENT:6
Mephit (Dust).MOD				LEVELADJUSTMENT:6
Mephit (Earth).MOD			LEVELADJUSTMENT:6
Mephit (Fire).MOD				LEVELADJUSTMENT:6
Mephit (Ice).MOD				LEVELADJUSTMENT:6
Mephit (Magma).MOD			LEVELADJUSTMENT:6
Mephit (Ooze).MOD				LEVELADJUSTMENT:6
Mephit (Salt).MOD				LEVELADJUSTMENT:6
Mephit (Steam).MOD			LEVELADJUSTMENT:6
Mephit (Water).MOD			LEVELADJUSTMENT:6
Merfolk.MOD					LEVELADJUSTMENT:1
Mimic.MOD					LEVELADJUSTMENT:12
Mind Flayer.MOD				LEVELADJUSTMENT:18
Minotaur.MOD				LEVELADJUSTMENT:10
Mohrg.MOD					LEVELADJUSTMENT:19
Mummy.MOD					LEVELADJUSTMENT:11
Naga (Water).MOD				LEVELADJUSTMENT:13
Naga (Spirit).MOD				LEVELADJUSTMENT:16
Naga (Dark).MOD				LEVELADJUSTMENT:16
Naga (Guardian).MOD			LEVELADJUSTMENT:19
Night Hag.MOD				LEVELADJUSTMENT:16
Nightmare.MOD				LEVELADJUSTMENT:10
Nightshade (Nightwing).MOD		LEVELADJUSTMENT:26
Nightshade (Nightwalker).MOD		LEVELADJUSTMENT:30
Nightshade (Nightcrawler).MOD		LEVELADJUSTMENT:34
Nymph.MOD					LEVELADJUSTMENT:12
Ogre.MOD					LEVELADJUSTMENT:5
Ogre (Aquatic Merrow).MOD		LEVELADJUSTMENT:5
Ogre Mage.MOD				LEVELADJUSTMENT:9
Orc.MOD					LEVELADJUSTMENT:0
Otyugh.MOD					LEVELADJUSTMENT:9
Pegasus.MOD					LEVELADJUSTMENT:8
Phantom Fungus.MOD			LEVELADJUSTMENT:8
Phase Spider.MOD				LEVELADJUSTMENT:10
Phasm.MOD					LEVELADJUSTMENT:22
Planetouched (Aasimar).MOD		LEVELADJUSTMENT:1
Planetouched (Tiefling).MOD		LEVELADJUSTMENT:1
Rakshasa.MOD				LEVELADJUSTMENT:14
Ravid.MOD					LEVELADJUSTMENT:9
Remorhaz.MOD				LEVELADJUSTMENT:13
Roper.MOD					LEVELADJUSTMENT:18
Rust Monster.MOD				LEVELADJUSTMENT:9
Sahuagin.MOD				LEVELADJUSTMENT:5
Salamander (Flamebrother).MOD		LEVELADJUSTMENT:7
Salamander (Average).MOD		LEVELADJUSTMENT:12
Salamander (Noble).MOD			LEVELADJUSTMENT:20
Satyr.MOD					LEVELADJUSTMENT:7
Satyr (with Pipes).MOD			LEVELADJUSTMENT:7
Shadow.MOD					LEVELADJUSTMENT:13
Shadow Mastiff.MOD			LEVELADJUSTMENT:9
Shambling Mound.MOD			LEVELADJUSTMENT:14
Shield Guardian.MOD			LEVELADJUSTMENT:23
Shocker Lizard.MOD			LEVELADJUSTMENT:4
Skeleton (Medium).MOD			LEVELADJUSTMENT:5
Skum.MOD					LEVELADJUSTMENT:6
